BuildingID,addr_full,lng,lat
"116943","2328 DR M L KING JR BOULEVARD BRONX NY 10468","-73.9057","40.8614"
"25921","140 NAGLE AVENUE MANHATTAN NY 10040","-73.926","40.8614"
"114476","2486 TIEBOUT AVENUE BRONX NY 10458","-73.8948","40.8614"
"92694","2292 LORING PLACE NORTH BRONX NY 10468","-73.9083","40.8613"
"47509","2351 BARNES AVENUE BRONX NY 10467","-73.8639","40.861"
"81553","2321 GRAND AVENUE BRONX NY 10468","-73.9048","40.8609"
"21521","61 ELLWOOD STREET MANHATTAN NY 10040","-73.9285","40.8609"
"66779","307 EAST 188 STREET BRONX NY 10458","-73.8949","40.8609"
"92685","2270 LORING PLACE NORTH BRONX NY 10468","-73.9087","40.8608"
"25950","90 NAGLE AVENUE MANHATTAN NY 10040","-73.9279","40.8607"
"25949","88 NAGLE AVENUE MANHATTAN NY 10040","-73.928","40.8607"
"92683","2264 LORING PLACE NORTH BRONX NY 10468","-73.9088","40.8607"
"25947","84 NAGLE AVENUE MANHATTAN NY 10040","-73.9281","40.8607"
"25918","131 NAGLE AVENUE MANHATTAN NY 10040","-73.9265","40.8607"
"94338","2474 MARION AVENUE BRONX NY 10458","-73.8934","40.8606"
"60512","2366 DAVIDSON AVENUE BRONX NY 10468","-73.9035","40.8605"
"116925","2265 DR M L KING JR BOULEVARD BRONX NY 10468","-73.9075","40.8603"
"59218","2390 CRESTON AVENUE BRONX NY 10468","-73.8992","40.8603"
"66787","373 EAST 188 STREET BRONX NY 10458","-73.8933","40.8602"
"119181","2357 WALTON AVENUE BRONX NY 10468","-73.902","40.8601"
"88918","2357 JEROME AVENUE BRONX NY 10468","-73.9032","40.8601"
"61311","2190 DE REIMER AVENUE BRONX NY 10475","-73.826","40.8601"
"88913","2347 JEROME AVENUE BRONX NY 10468","-73.9033","40.8599"
"117087","2407 VALENTINE AVENUE BRONX NY 10458","-73.8972","40.8598"
"25944","65 NAGLE AVENUE MANHATTAN NY 10040","-73.9287","40.8598"
"25940","55 NAGLE AVENUE MANHATTAN NY 10040","-73.9292","40.8597"
"66866","554 EAST 191 STREET BRONX NY 10458","-73.8861","40.8595"
"119171","2332 WALTON AVENUE BRONX NY 10468","-73.9019","40.8593"
"7206","20 BOGARDUS PLACE MANHATTAN NY 10040","-73.9293","40.8593"
"60496","2290 DAVIDSON AVENUE BRONX NY 10468","-73.9043","40.859"
"81809","2351 GRAND CONCOURSE BRONX NY 10468","-73.8996","40.859"
"81537","2265 GRAND AVENUE BRONX NY 10453","-73.9061","40.8589"
"66577","254 EAST 184 STREET BRONX NY 10458","-73.898","40.8589"
"85782","2226 HOLLAND AVENUE BRONX NY 10467","-73.8653","40.8588"
"101363","4682 PARK AVENUE BRONX NY 10458","-73.8922","40.8584"
